nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
43,HD42A,*OCH3,,CH4,*O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-1.3,-1.3,-1.5,-1.1,TRUE,6.21E+12,2.58,0.4,,1000,,0,,1,,0,,0,,1,,0,,0
44,H05B,*COH,,*CHOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.27,0.27,-0.23,0.77,FALSE,6.21E+12,1.62,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
45,C03Ai,*CO,*CO,**OCCO,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,1.01,1.01,0.9,1.3,TRUE,6.00E+15,1.06,,,,,,,,,,,,,,,,,
46,C03Aii,*CO,*CO,**(CO)2,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.3,0.21,0.01,0.41,TRUE,6.00E+15,0.53,,,,,,,,,,,,,,,,,
47,H16Ai,**OCCO,,**COHCO,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,0.2,0,0.4,TRUE,6.21E+12,0.593,0.48,,1000,,0,,1,,0,,0,,1,,0,,0
48,H14Ai,**COHCO,,*CCO,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-1.59,-1.59,-1.79,-1.39,TRUE,6.21E+12,0.35,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
49,H14Aii,**COCOH,,*CCO,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.78,,-1.28,-0.28,TRUE,6.21E+12,0.28,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
50,H16Aii,**(CO)2,,**COCOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,,,0,1,FALSE,6.21E+12,0.64,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
51,H19A,*CCO,,*CHCO,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.31,0.31,0.11,0.51,TRUE,6.21E+12,1.024,0.48,,1000,,0,,1,,0,,0,,1,,0,,0
52,H58A,*CHCO,,***CH2CO,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.03,0.03,-0.17,0.23,TRUE,6.21E+12,0.998,0.47,,1000,,0,,1,,0,,0,,1,,0,,0
53,H59A,***CH2CO,,**OCHCH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.51,-0.51,-0.71,-0.31,TRUE,6.21E+12,0.605,0.48,,1000,,0,,1,,0,,0,,1,,0,,0
54,H53B,**OCHCH2,,**CH2OCH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.06,0.06,-0.14,0.26,TRUE,6.21E+12,0.833,0.52,,1000,,0,,1,,0,,0,,1,,0,,0
55,H80A,**CHCH2O,,**CH2OCH2,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.74,-0.85,-1.05,-0.65,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
56,H79A,**CHOHCH2O,,**CHCH2O,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.2,0.3,0.1,0.5,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
57,H71A,**COHCH2O,,**CHOHCH2O,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.96,-0.72,-0.97,-0.47,TRUE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
58,O71A,**COHCH2O,,*COHCH2O,,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,0.7,0.52,0.32,0.72,TRUE,6.21E+12,0.3,,,,,,,,,,,,,,,,,
59,HD77A,*COHCH2O,,CH3COOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-2.97,-2.97,-3.22,-2.72,FALSE,6.21E+12,0.6,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
