nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
52,H58A,*CHCO,,***CH2CO,,1,1,True,True,True,True,True,0.030000000000000027,0.03,-0.17,0.23,True,6210000000000.0,0.998,0.47,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
53,H59A,***CH2CO,,**OCHCH2,,1,1,True,True,True,True,True,-0.5099999999999999,-0.51,-0.71,-0.31,True,6210000000000.0,0.605,0.48,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
54,H53B,**OCHCH2,,**CH2OCH2,,1,1,True,True,True,True,True,0.06000000000000005,0.06,-0.14,0.26,True,6210000000000.0,0.833,0.52,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
55,H80A,**CHCH2O,,**CH2OCH2,,1,1,True,True,True,True,True,-0.74,-0.85,-1.05,-0.65,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
56,H79A,**CHOHCH2O,,**CHCH2O,H2O,1,1,True,True,True,True,True,0.2,0.3,0.1,0.5,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
57,H71A,**COHCH2O,,**CHOHCH2O,,1,1,True,True,True,True,True,-0.9600000000000004,-0.72,-0.97,-0.47,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
58,O71A,**COHCH2O,,*COHCH2O,,0,0,True,True,False,False,False,0.7,0.52,0.32,0.72,True,6210000000000.0,0.3,,,,,,,,,,,,,,,,,
59,HD77A,*COHCH2O,,CH3COOH,,1,1,True,True,True,True,True,-2.8360000000000003,-2.97,-3.22,-2.72,False,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
60,H70A,**COCH2O,,**COHCH2O,,1,1,True,True,True,True,True,0.6800000000000002,0.44,0.19,0.69,True,6210000000000.0,0.6,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
61,O69A,**COCHOH,,**COCH2O,,0,0,True,True,False,False,False,-0.6000000000000001,-0.64,-0.84,-0.44,True,6210000000000.0,0.19,,,,,,,,,,,,,,,,,
62,H17Ai,*COCHO,,**COCHOH,,1,1,True,True,True,True,True,0.44999999999999973,0.31,0.11,0.51,True,6210000000000.0,0.78,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
